index	status	input	source	line	column	returncode	seconds	message
0	PASS	init/main.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/init/main.c			0	3.372	
1	FAIL	init/version.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/init/version.c	20739	308	1	0.149	unsupported GNU object attribute
2	FAIL	init/do_mounts.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/init/do_mounts.c	49166	115	1	1.066	expected '(' before function parameter list
3	FAIL	init/do_mounts_initrd.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/init/do_mounts_initrd.c	62265	27	1	1.673	unsupported external object definition
4	FAIL	init/initramfs.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/init/initramfs.c	59102	29	1	1.575	expected expression
5	PASS	init/calibrate.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/init/calibrate.c			0	0.205	
6	FAIL	init/init_task.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/init/init_task.c	63193	18	1	1.717	backward static record designator currently requires a direct scalar field
7	PASS	arch/riscv/kernel/pi/cmdline_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/pi/cmdline_early.c			0	0.495	
8	PASS	arch/riscv/kernel/pi/fdt_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/pi/fdt_early.c			0	0.017	
9	PASS	arch/riscv/kernel/pi/string.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/lib/string.c			0	0.423	
10	PASS	arch/riscv/kernel/pi/ctype.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/lib/ctype.c			0	0.003	
11	PASS	arch/riscv/kernel/pi/lib-fdt.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/lib/fdt.c			0	0.020	
12	PASS	arch/riscv/kernel/pi/lib-fdt_ro.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/lib/fdt_ro.c			0	0.022	
13	PASS	arch/riscv/kernel/soc.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/soc.c			0	0.636	
14	PASS	arch/riscv/kernel/alternative.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/alternative.c			0	1.291	
15	PASS	arch/riscv/kernel/cpu.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/cpu.c			0	1.281	
16	PASS	arch/riscv/kernel/cpufeature.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/cpufeature.c			0	1.543	
17	PASS	arch/riscv/kernel/irq.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/irq.c			0	1.691	
18	PASS	arch/riscv/kernel/process.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/process.c			0	1.390	
19	PASS	arch/riscv/kernel/ptrace.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/ptrace.c			0	1.218	
